NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-1920.747971 -1861.844012 -1557.075621 -1091.908359  -870.028010     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2199.915363 -2047.253537 -1507.425299 -1058.760211  -940.278157     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2026.410126 -1988.726217 -1323.246521  -930.593850  -917.259742     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1811.680703 -1831.343895 -1256.464625  -914.001924  -854.335118     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1885.730370 -1818.440592 -1237.946737  -893.189790  -841.252216     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1892.869525 -1822.216872 -1244.024013  -893.954496  -836.007654     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1933.639557 -1883.329510 -1308.450711  -909.815367  -854.500762     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2004.304814 -1881.997406 -1440.849604 -1018.097084  -905.138477     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2044.656296 -1909.989545 -1312.198506 -1023.139572  -931.324997     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2111.585304 -1965.969473 -1355.006152  -914.198950  -932.813421     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2157.841550 -1980.118560 -1374.062708  -942.392553  -967.488382     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2215.723602 -2015.627594 -1169.554306  -978.777628  -954.420938     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2227.111135 -2027.933164 -1231.486657 -1000.384598  -969.027918     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2240.421732 -2032.123186 -1284.099364  -987.806117  -966.046286     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2282.750664 -2032.890581 -1302.647970  -990.335965  -961.856045     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2316.751467 -2044.789473 -1357.015113  -990.180818  -983.270038     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2351.435226 -2083.302368 -1384.072164  -978.194449  -973.547608     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2369.157653 -2085.624868 -1394.654410  -958.997537  -953.147286     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2331.193504 -2070.293347 -1409.227312  -972.410277  -956.928793     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2301.215914 -2059.484328 -1396.057794  -968.157568  -931.972813     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2193.104586 -2019.293452 -1369.027485  -958.002173  -945.505490     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2186.326846 -1982.574760 -1358.574048  -948.616469  -945.735994     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2056.314427 -1921.206425 -1301.869119  -927.840911  -910.295476     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2041.002060 -1925.450009 -1367.309328  -940.515724  -893.096679     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1950.193788 -1832.756473 -1577.693599  -900.752380  -902.393167     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2171.957249 -1964.535665 -1581.831514  -895.346174  -969.738196     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2052.988127 -1985.273880 -1632.293603  -981.390194  -960.857341     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2002.284767 -1965.732758 -1537.846421  -952.534689  -941.077672     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2056.511238 -1885.748922 -1426.957922  -896.560372  -928.256373     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1947.960232 -1763.997930 -1327.602108  -897.183944  -893.821679     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
