NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 0.000000 26.593820  0.000000 16.387869  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 54.452941  0.000000 15.089811 15.008097  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 38.893883  0.000000 11.985264  1.265763  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 25.432075 -0.000000 12.022245 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 27.167296  0.000000 10.681218 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 31.825500 -0.000000 10.767948 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 35.054808 -0.000000 12.293534  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 33.313526 -0.000000 16.751144  3.555620  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 44.072168  0.000000 14.822804  9.424721  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 44.139587  0.000000 14.012389 26.604939  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 50.043456  0.000000 15.392406 29.445570  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000022 52.991137 -0.170090 16.015437 25.553811  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 57.089625 -0.126450 17.185797 31.697893  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 55.643295 -0.079527 16.438763 33.772935  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 54.615854 -0.077293 16.313739 27.046894  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000293 59.675572 -0.075775 16.932153 34.205008  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.035035 64.797394 -0.077429 16.132037 30.425712  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.034922 62.884233 -0.076913 15.501120 30.192681  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.036952 61.449628 -0.077675 16.026808 32.385563  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.038724 58.013543 -0.079343 15.634399 23.145208  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.042103 53.127316 -0.079436 15.737392 22.839821  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 43.130197  0.000000 15.072744 33.061996  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 37.446536  0.000000 13.948317 13.812941  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 43.207755  0.000000 14.852885  0.037043  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 18.141740  0.000000 12.465918  3.396675  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 34.045398  0.000000 10.848956 25.683089  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 32.321984  0.000000 15.189430 11.490371  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 28.066280  0.000000 13.860483  0.816593  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 19.467568  0.000000 12.723661  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 13.258037  0.000000 12.493664  4.003149  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 14.624722  0.000000 15.352722  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 29.438033  0.000000 17.194020  0.113943  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 33.953831  0.000000 15.192820  4.358028  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 43.603114  0.000000 16.106351 15.005505  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 48.815421  0.000000 16.601989 18.372139  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
