"from","to","type","No","voltage","distance"
1,2,1,1,300,47441.5782515237
4,8,1,9,132,44873.7148014527
9,10,1,11,132,35470.1822685314
11,12,1,12,420,36231.1560007768
18,19,1,25,275,35636.5781702465
20,22,1,32,275,32049.5441149179
18,20,1,34,300,28576.5365171163
9,24,1,40,420,106585.315042162
25,26,1,41,132,50222.167013384
9,26,1,43,132,63709.721398433
28,29,1,44,132,75991.2424641343
13,30,1,47,300,61960.0303993121
31,32,1,50,300,64770.1152556013
30,33,1,54,300,24366.069326057
13,33,1,56,300,39803.5709420231
30,34,1,57,420,55059.7649974751
33,35,1,58,300,92434.4757139087
36,37,1,60,300,28994.1379549811
32,36,1,61,300,46021.8722212238
23,38,1,62,300,80667.0204649387
39,40,1,63,300,24422.9384768487
43,44,1,66,132,32300.7717084151
43,44,1,67,132,32282.1304711595
45,46,1,68,132,70452.3653120284
45,46,1,69,300,71133.6694029993
47,48,1,70,300,55414.5611076309
14,49,1,71,420,23872.5962593691
49,50,1,72,420,31289.7933154763
51,52,1,73,220,70717.7506787457
53,54,1,74,300,47466.8085822349
2,55,1,75,300,34201.5523519203
49,56,1,76,420,86344.0339935496
14,57,1,77,420,67652.5553776669
16,58,1,78,300,26202.2903234293
50,59,1,80,420,47088.6900135777
15,23,1,81,300,62167.8147459717
51,60,1,82,300,45962.8965460203
61,62,1,84,420,136367.887351806
32,38,1,85,300,34135.2977643609
9,45,1,86,132,31369.7473954993
10,63,1,87,132,42064.4359587452
63,64,1,88,132,33257.6885531047
65,66,1,89,300,54818.0955944135
56,57,1,93,420,45491.1243060324
16,67,1,94,132,53978.8606611758
16,48,1,95,300,41247.4987156184
16,57,1,96,300,58064.3567728675
68,69,1,97,300,46635.5458033343
69,70,1,98,300,30365.0062975714
71,72,1,99,420,19329.8551869501
71,73,1,100,420,54478.6874303402
75,76,1,104,300,40309.5828704331
42,77,1,105,132,45396.7819658103
78,79,1,110,132,88558.3833398679
80,81,1,111,132,77268.4621856126
78,79,1,112,132,73634.9462440892
82,83,1,113,132,45495.0643471086
43,83,1,114,132,63515.454389554
82,84,1,116,132,51580.0135388508
85,86,1,118,132,63744.1355677883
87,88,1,122,300,47494.5066373199
87,88,1,123,300,47422.0175327411
13,75,1,124,300,36620.013970458
76,88,1,125,300,33015.6445816333
76,88,1,126,300,31488.654563676
66,89,1,128,300,32162.2818758824
90,91,1,129,300,41571.2810956625
39,40,1,130,300,23467.2799054558
80,85,1,131,132,55479.5433741527
79,85,1,132,132,83978.9781267681
42,92,1,133,132,64784.250611645
93,94,1,134,132,38594.8276486339
42,92,1,135,132,64839.9219051019
11,91,1,136,420,80740.9596115347
92,95,1,137,132,22041.6325884341
39,72,1,139,420,78591.6225676386
82,84,1,140,132,50661.762147039
96,97,1,142,420,45473.2808098877
14,70,1,143,300,48135.581741612
40,70,1,144,300,151899.248295011
98,99,1,145,300,75089.4919203278
54,89,1,146,300,130997.023592
43,100,1,147,420,37559.6010048507
25,91,1,148,300,36816.7645212162
89,90,1,149,300,49984.159023183
55,87,1,150,300,29218.7380074675
81,84,1,151,132,62217.2583962966
81,84,1,152,132,60823.5784960461
41,94,1,153,132,49253.2149984165
81,86,1,154,132,32554.4047603947
44,100,1,155,132,50520.5560599045
74,101,1,156,420,137204.812788894
34,101,1,157,420,42135.4092344028
27,64,1,158,132,28995.0331033136
58,102,1,159,300,35830.7673422716
14,72,1,160,420,118048.988841543
36,103,1,162,300,58918.2164329399
30,38,1,164,300,25346.7153850276
34,104,1,165,420,142920.941407801
89,91,1,167,300,81986.1837819539
105,106,1,170,300,52530.4656387646
104,107,1,171,300,84450.9795083121
108,109,1,172,300,82021.1062083207
10,110,1,173,132,32291.3191127886
27,111,1,174,132,56007.6642768965
9,26,1,175,300,77240.334972908
39,112,1,177,420,36617.1651870498
99,113,1,179,300,76468.0654666367
97,104,1,180,300,64311.2256157647
40,73,1,182,300,30475.2136652484
96,114,1,183,300,45099.1673423836
46,98,1,184,300,47091.2061092383
40,114,1,185,300,65269.7324763543
115,116,1,187,420,28428.7314397594
96,115,1,188,420,31359.8745353147
96,117,1,189,420,41280.6884804779
96,114,1,190,420,45186.2446557772
40,99,1,191,300,150184.496696348
112,114,1,192,420,32724.0624346822
5,7,1,196,132,33050.3829173342
31,118,1,198,300,51966.6772134673
15,118,1,199,300,27894.2272656955
15,118,1,200,300,27893.9170023729
38,118,1,201,300,37510.5876127982
73,105,1,202,300,48676.6895301036
18,31,1,203,300,59335.7553693303
103,105,1,204,300,91684.5856987392
30,119,1,205,420,133938.627114396
73,119,1,206,420,109514.928292147
97,120,1,207,300,41125.4174430545
41,42,1,208,132,75817.6987843733
92,95,1,209,132,22037.1570993225
23,38,1,210,300,84607.3242448971
42,100,1,212,420,86348.9878843301
51,121,1,214,420,49526.834493702
9,27,1,215,420,110545.763107877
9,91,1,216,420,139474.263487923
42,77,1,217,420,65249.1842357133
77,122,1,218,420,115775.82731048
62,122,1,219,420,50595.2566144485
61,121,1,220,420,88627.1889760612
14,57,1,221,420,87980.7320975374
44,100,1,222,132,42074.1323848691
8,67,1,225,132,42318.3429838581
20,21,1,226,275,27289.9440221993
4,7,1,227,132,39377.3256013935
6,111,1,228,132,24947.4432820054
5,6,1,229,132,34378.7624247015
9,45,1,235,300,41064.6486222644
39,124,1,237,300,52623.5206391504
113,124,1,238,300,71879.1424211405
22,47,1,239,275,43357.640261508
20,22,1,240,275,33011.3140246091
4,125,1,242,132,37698.5918968764
105,114,1,247,300,56049.2594170502
73,114,1,250,420,51200.7670321619
40,123,1,252,300,53285.3274366779
123,126,1,255,300,62310.1399461803
