"Node","cap","annual","status","x","y","lon","lat"
119,57.5,175,1,4339291.55629818,4568880.07580525,10.37462,64.22481
1,1.6,4.9,1,4074790.39568546,3966890.81662112,5.75357,58.73701
712,110,289.9,1,4259332.50269415,4489154.08257133,8.76818,63.50116
275,90,311.39,1,4381876.35770462,4448369.84685261,11.201,63.13359
750,71.3,220,1,4125417.24971254,3899453.46957594,6.68184,58.15566
13,50.4,170.7,1,4064358.40737678,4308102.80220607,5.14897,61.79463
463,400,553.73,1,4459449.33822593,4752847.01490768,13.0107,65.8594
751,4.25,10,1,4138586.19272715,4411453.53164942,6.44366,62.76388
139,97,189,1,5020524.80721763,5388386.61794633,29.0417,70.75502
729,210,546.1,1,4295599.55620088,4473137.07048871,9.49506,63.36078
833,150,433.7,1,4062197.91194877,4100511.00334269,5.37978,59.9293
63,15,43.41,1,4060614.52777447,4033065.08259707,5.43299,59.32303
441,99,363.1,1,4083804.37803527,3958485.49844594,5.91738,58.6663
210,75,192,1,4419103.90031236,4044120.46223915,11.72766,59.48703
2,110,370,1,4091946.51345591,3931280.58485307,6.08411,58.42619
623,202.1,541,1,4640696.26559518,5180614.41039956,18.1336,69.58806
50,2.3,8,1,4036174.88842295,4014320.59486734,5.02975,59.14012
712,60,197.29,1,4254163.37635503,4510646.84879716,8.65607,63.69411
345,60,139,1,4708373.8031435,5246930.16108058,20.10763,70.1023
2,90,543,1,4079981.55882693,3949867.40997214,5.86073,58.58696
839,255.6,900,1,4335626.04844066,4559376.81328057,10.29865,64.13922
63,47.3,149.93,1,4069128.8697946,4031237.18944015,5.58403,59.31146
156,82.8,311.98,1,4139507.82630661,3954601.93030256,6.87782,58.65674
441,10,23,1,4083812.65714516,3967745.69358357,5.90795,58.74943
50,1.2,3.5,1,4030497.86562738,4034298.5262591,4.90483,59.3157
634,56,148.57,1,4049875.07641335,4248581.58708612,4.96155,61.25098
846,50,154,1,4536186.19796003,5074604.8102052,15.25968,68.72402
12,197.4,711.94,1,4059513.75110962,4296156.95656633,5.07449,61.68431
784,70,103,1,4363363.67616712,4644068.90744871,10.88885,64.90148
507,150.4,356,1,4216688.21939786,4479760.31329611,7.92275,63.4074
839,126,474,1,4325548.51769252,4551963.89795892,10.09266,64.07259
839,288,972.8,1,4328867.54383676,4530541.62636546,10.1592,63.87927
844,100,379.9,1,4601774.49010286,5003630.71041541,16.66767,68.03248
2,25.2,96.3,1,4091886.20097031,3926520.70387025,6.08774,58.38343
839,12,35,1,4302676.8423508,4523990.79340597,9.62999,63.81982
118,130.2,485.29,1,4355283.94975649,4587818.17114019,10.70638,64.39459
567,45,137,1,4853695.8750923,5375564.65194299,24.58928,71.0119
143,39.1,119,1,4951973.32564615,5388791.27227706,27.26816,70.92198
119,14,36,1,4341354.79218514,4567857.76371323,10.41674,64.21548
441,30,84.6,1,4083781.85603293,3977287.5518019,5.8975,58.83507
2,159.1,558.4,1,4084757.14416312,3949554.5620317,5.94289,58.58662
766,7,74,1,4058503.83913826,4333083.68764235,5.00299,62.01534
2,2.4,8.11,1,4072255.09556617,3950725.12299095,5.72742,58.59056
51,7,25,1,4049610.1715699,4044132.98826205,5.22686,59.41585
118,55.5,211.06,1,4386851.68612499,4628496.11894233,11.37456,64.75747
229,163.2,31,1,4403131.07242368,4138918.73911783,11.48326,60.34308
88,40,104,1,4645938.36744547,5060691.02737241,17.87843,68.50391
156,210,670,1,4133914.46043047,3940914.54940569,6.7928,58.53155
2,30,117.23,1,4086222.17946632,3958257.2575922,5.95914,58.66549
790,21,75,1,4072304.81299637,4348133.64930948,5.24424,62.15915
102,200,550,1,4112011.21460974,3921027.47935171,6.43569,58.34359
450,120,186,1,5047216.92422066,5386636.368302,29.71102,70.67211
712,70,138,1,4261008.27660884,4491182.28078052,8.8009,63.51971
751,66,127.18,1,4125361.59317326,4401262.69045163,6.19785,62.66594
623,100,227.35,1,4644058.6336444,5181340.51430772,18.22073,69.59097
839,118,405,1,4328696.992778,4548945.89869682,10.15665,64.04531
1,80,222.08,1,4074188.64445462,3956835.64387435,5.75402,58.64644
579,112,368.5,1,4418237.96274621,4234435.21930693,11.80257,61.19954
441,10,36,1,4086011.2839385,3965495.50764369,5.94811,58.73036
565,60,194.79,1,4439985.77965395,4215562.45135598,12.19395,61.02415
