Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   0.000000    0.000000   -4.527248  -36.407801  -38.051854   -9.991163  -27.506852  -31.302182  -79.534553   -5.548342    0.000000    0.000000    0.000000  -81.107501   -7.470110  -19.902933    0.000000  -29.348758    0.000000   -4.249950    0.000000  -39.303243  -18.094351   -9.150567    0.000000   -7.462777   -5.495962   -1.347459   -0.532890 -135.069742  -65.768321  -68.441663   -4.150988    0.000000  -69.465850  -28.048168  -39.751789  -44.589391   -6.411573   -0.101661    0.000000   -9.344371   -2.757928   -6.531032   -6.031888  -66.253671  -58.593558  -41.972864   -3.346094  -62.862877 -188.196741  -50.311259   -3.470851  -42.433381    0.000000 -163.565307 -236.264780  -70.795293   -1.674701   -7.412238 -126.559251  -37.981956  -15.837070   -2.340883  -15.997903   -0.000000  -14.066505  -46.508864   -0.392587  -53.456524   -3.897983   -0.077617   -0.089125    0.000000    0.000000    0.000000  -35.572761   -1.042307   -6.124046   -1.274737   -4.849318   -7.535359   -6.355466   -6.367183   -0.692345  -11.804152    0.000000    0.000000    0.000000    0.000000    0.000000  -13.668851    0.000000    0.000000   -2.831157   -4.282483   -8.257560   -4.236465   -5.702411   -3.611450    0.000000  -55.899136  -44.515815  -13.368876   -0.329948  -39.896143  -57.162895    0.000000   -3.025202  -11.667248  -11.868092   -0.016834   -2.562020   -0.077031   -1.117503   -0.021490   -0.060122  -73.964792 -159.176934  -14.855162 -149.800335  -63.263589   -0.179217   -0.211583  -48.034981   -0.294563   -3.823222  -23.567431   -3.770601    0.000000   -0.348937    0.000000   -0.036158   -0.129054   -0.846231    0.000000  -58.775199    0.000000    0.000000  -24.083090  -26.660549   -3.433727   -0.018462    0.000000    0.000000    0.000000   -3.277917   -0.015699   -6.726664  -12.314113   -8.413384   -8.521534   -8.925747  -14.424339    0.000000   -5.670541    0.000000   -7.362627   -7.401668  -53.338864  -30.819438   -3.955708   -9.121646   -2.012621   -4.919000    0.000000   -5.989021    0.000000    0.000000  -18.210813   -3.069351  -42.743033  -48.184276   -1.715249  -13.198361   -7.685313   -7.471655   -8.005189   -5.562858  -17.924121    0.000000    0.000000    0.000000   -6.157432   -2.272175   -0.080938   -0.567962   -4.448761   -2.039587  -38.831293   -4.354394   -6.136239    0.000000   -0.202010  -18.901128   -2.677754   -0.646504  -20.387366   -4.303535    0.000000   -3.731336  -97.249296  -42.937027  -17.029944  -33.712283  -38.314021  -19.909196   -0.000000   -0.000000   -1.355842    0.000000    0.000000    0.000000  -14.234561  -23.925377    0.000000   -8.283502   -2.797470    0.000000   -5.836273    0.000000
   0.000000    0.000000   -4.548964  -36.392628  -31.105114   -9.140225  -18.932309  -31.299681  -80.443574   -6.375794    0.000000    0.000000    0.000000  -81.104931  -11.091797  -19.895325    0.000000  -25.737423    0.000000   -4.694015  -26.032601  -39.296607  -28.461612   -9.146226    0.000000   -7.457535   -5.488295   -1.410222   -0.544989  -83.340261  -55.466087  -52.938380   -3.135174    0.000000  -52.792680  -22.407944  -30.989249  -36.802310   -5.399219   -0.084171    0.000000   -9.552915   -2.818487   -6.630581   -6.031117  -66.248922  -51.840311  -41.969321   -3.345784  -62.861957 -188.527324  -50.397817   -3.470696  -42.432682    0.000000 -163.564276 -236.263914  -70.793309   -1.354538   -7.504535 -126.842605  -38.160217  -15.834113   -2.334968  -15.989755   -0.000000  -14.065035  -46.508255   -0.325434  -53.452644   -3.224258   -0.065160   -0.067958    0.000000    0.000000    0.000000  -35.739330   -1.219244   -7.093967   -1.565753   -5.610406   -7.619716   -8.510356   -8.312126   -0.726322  -11.892300    0.000000    0.000000    0.000000    0.000000    0.000000  -17.403643    0.000000    0.000000   -2.885951   -2.608422  -11.969229   -4.368854   -5.834005   -3.662883    0.000000  -55.898096  -35.023955  -14.414100   -0.243875  -31.026730  -40.822459    0.000000    0.000000  -11.839994  -11.350396   -0.012894   -2.562020   -0.054424   -0.667599   -0.015909   -0.036620  -15.529213 -126.617540  -15.317329 -150.172302  -63.458025   -0.163216   -0.213262  -48.031320   -0.294563   -3.860604  -23.567365   -3.784811    0.000000   -0.369562    0.000000   -0.038301   -0.136646   -0.895664    0.000000  -58.773753    0.000000    0.000000  -24.079263  -26.659414   -3.548185   -0.018965    0.000000    0.000000    0.000000   -3.470735   -0.012978   -7.224935  -12.401699   -8.601084   -8.580150   -8.797149  -15.172750    0.000000   -5.858434    0.000000   -7.362627   -7.401668  -60.138810  -30.854756   -4.118823   -9.170918   -2.129806  -10.218692    0.000000   -5.986335    0.000000    0.000000  -18.209235   -3.210531  -43.285803  -48.274464   -1.281477   -7.925592  -11.298455  -10.667148   -5.936539   -7.142937   -8.857840    0.000000    0.000000    0.000000   -6.362680   -1.442651   -0.083636   -0.586894   -4.668844   -2.710989  -34.156765   -4.336936  -19.205571    0.000000   -0.202010  -12.845427   -2.767611   -0.646504  -10.926923   -4.360564    0.000000   -2.559559  -97.245523  -43.065554  -17.688887  -33.895739  -38.229199  -20.019812   -1.240629   -2.012667   -1.435752    0.000000    0.000000    0.000000  -14.563051  -24.024366    0.000000   -8.281017   -2.794501    0.000000   -5.898299    0.000000
   0.000000    0.000000   -4.359900  -36.379645  -31.094753   -9.557855  -18.228094  -31.297332  -67.990266   -5.539679    0.000000    0.000000    0.000000  -81.101255   -0.634014  -19.888227    0.000000  -20.320598    0.000000   -3.337887   -0.000000   -8.460560   -0.842353   -9.076238    0.000000   -5.479079   -5.676232   -0.867400   -0.440341  -70.668050  -40.194183  -39.112233   -1.785938    0.000000  -38.791582  -16.328958  -22.177413  -25.639292   -4.184395   -0.065588    0.000000   -9.995665   -2.966248   -7.664776   -6.030186  -66.244190  -40.965449  -41.966078   -3.345111  -62.860674 -188.019424  -50.278687   -3.470481  -42.431680    0.000000 -163.561804 -236.262947  -70.791390   -1.034374   -6.694117 -124.395290  -38.497597  -15.830276   -2.327131  -15.977668    0.000000  -14.063740  -46.507619   -0.247950  -53.448577   -2.454286   -0.048870   -0.050133    0.000000    0.000000    0.000000  -34.300821   -0.861406   -6.097419   -1.242185   -3.852951   -9.297619   -7.971310   -7.446080   -0.431342  -11.131025    0.000000    0.000000    0.000000    0.000000    0.000000  -17.569591    0.000000    0.000000   -3.151972   -1.401540    0.000000   -3.971686   -5.351494   -4.292090    0.000000  -55.897057  -25.424771   -2.708976   -0.172147  -21.158962  -30.603348    0.000000   -0.005963  -11.582674  -11.852331   -0.009313   -2.562020   -0.036841   -0.261235   -0.005024   -0.019676  -15.514735  -92.231020   -7.941684 -155.592332  -64.801449   -0.139213   -0.188074  -48.028357   -0.268863   -4.795273  -23.567273   -3.661739    0.000000   -0.190866    0.000000   -0.019784   -0.123361   -0.462228    0.000000  -58.772224    0.000000   -0.414827  -17.127349  -26.657973   -3.242964   -0.017332    0.000000    0.000000    0.000000   -3.133303   -0.009838   -4.235307  -11.635113   -9.010728   -8.069537   -8.873599   -8.553775    0.000000   -5.160897    0.000000   -7.362627   -7.401668  -60.541169  -31.010624   -2.781101   -8.741415   -1.098680    0.000000    0.000000   -6.285532    0.000000    0.000000  -19.230762   -1.989217  -42.417132  -47.495720   -0.674721   -5.720188    0.000000   -0.265057   -3.376699   -0.885773   -6.918437    0.000000    0.000000    0.000000   -5.798248   -1.009856   -0.076217   -0.534831   -2.752879   -2.507208  -27.141089   -4.300921  -17.730013    0.000000   -0.202010   -7.890762   -2.731668   -0.646504   -7.255440   -3.859232   -2.657358   -2.647459  -97.241861  -45.127021  -12.364406  -34.505529  -44.011328  -22.381937    0.000000    0.000000   -0.741379    0.000000    0.000000    0.000000  -13.358588  -23.161065    0.000000   -8.277431   -2.496649    0.000000   -5.363144    0.000000
   0.000000    0.000000   -4.555069  -34.235251  -34.969461  -10.161828  -16.980303  -30.931160  -75.930404   -5.183489    0.000000    0.000000    0.000000  -80.354210   -3.802487  -18.633060    0.000000   -4.437144    0.000000   -1.628493    0.000000   -4.164154   -9.165549   -3.164544    0.000000   -4.068584   -4.210157   -0.601247   -0.359107  -63.761987  -35.523918  -37.062048   -1.773132    0.000000  -37.210756  -15.712848  -22.270681  -26.173009   -4.116905   -0.064495    0.000000   -8.285778   -2.464409   -6.536409   -6.270535  -69.623407   -7.787427  -41.379171   -3.210052  -62.599393 -196.090094  -52.445481   -3.826328  -38.026799    0.000000 -163.108042 -236.079604  -70.474279   -1.009746   -6.630463 -130.882164  -40.723254  -16.503191   -1.350174  -14.200763    0.000000  -13.842321  -46.383914   -0.242784  -52.597963   -2.406163   -0.047912   -0.049019    0.000000    0.000000    0.000000  -30.556725   -0.654115   -5.114604   -1.003057   -2.861289   -8.045293   -6.926169   -6.351455   -0.289944   -9.672500    0.000000    0.000000    0.000000    0.000000    0.000000  -15.362097    0.000000    0.000000   -2.646251   -1.362608   -4.128780   -3.927556   -5.307629   -3.673928    0.000000  -55.726101  -25.494667   -6.626972   -0.172147  -21.854443  -30.850378    0.000000   -1.513118   -4.783271  -11.860725   -0.009133   -2.562020   -0.036003   -0.253978   -0.004884   -0.019130  -11.728434  -92.501507   -9.062711 -154.785344  -66.307760   -0.137613   -0.186395  -47.517016   -0.266886   -4.166303  -26.424411   -3.902983    0.000000   -0.113299    0.000000   -0.011793   -0.122412    0.000000    0.000000  -62.463327    0.000000   -1.227872  -16.290369  -28.225771   -3.166659   -0.017206    0.000000    0.000000    0.000000   -3.109200   -0.009629   -4.152261  -12.017574   -7.480148   -8.662440   -4.615838   -5.345619    0.000000   -4.030884    0.000000   -7.362627   -7.401668  -56.449159  -30.952239   -2.126387   -9.208624   -0.643033    0.000000    0.000000   -5.635794    0.000000    0.000000  -18.387206   -1.386012  -44.393698  -49.505362   -0.855044   -6.477837   -3.842656   -3.717670   -3.773546   -2.897396   -3.429740    0.000000    0.000000    0.000000   -5.746936   -0.973789   -0.075542   -0.530098   -1.834123   -2.168064   -6.137289    0.000000  -10.644138    0.000000   -0.202010   -7.890762   -2.713697   -0.646504   -4.828070   -3.839576   -0.121752   -4.154734  -96.569835  -46.000143  -10.103599  -35.692463  -50.606865  -23.377230    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  -13.249091  -24.468689    0.000000   -8.006748   -2.085932    0.000000   -4.608109    0.000000
   0.000000    0.000000   -4.726950  -34.241892  -34.614327  -10.180588  -16.776193  -30.932245  -83.974452   -5.808154    0.000000    0.000000    0.000000  -80.357852   -7.737566  -18.637642    0.000000  -19.373782    0.000000   -2.083444    0.000000   -6.204509  -20.133354   -1.987623    0.000000   -6.264674   -4.428008   -0.563697   -0.291922 -123.341719  -59.339415  -58.781393   -3.664007    0.000000  -56.902078  -23.510903  -33.315678  -43.393336   -4.859297   -0.076519    0.000000   -6.774543   -2.013975   -5.343225   -6.455213  -71.837467  -38.157983  -41.389743   -3.210760  -62.600910 -199.998693  -54.102454   -3.780017  -36.239695    0.000000 -163.110251 -236.080384  -70.475285   -1.231398   -6.741941 -135.889936  -42.592795  -19.086253   -1.231183  -10.932059    0.000000  -13.843113  -46.384420   -0.289274  -52.602360   -2.887395   -0.057494   -0.061273    0.000000    0.000000    0.000000  -33.462668   -0.665017   -4.167386   -1.070725   -2.320941   -6.572346   -7.763316   -5.185971   -0.232690   -7.900345    0.000000    0.000000    0.000000    0.000000    0.000000  -12.552872    0.000000    0.000000   -2.163270   -2.141242   -6.569801   -4.148205   -5.614682   -3.002817    0.000000  -55.726619  -35.743257  -11.645580   -0.219965  -30.816775  -46.179829    0.000000   -2.731211   -3.515125  -12.350544   -0.011462   -2.562020   -0.047726   -0.493443   -0.011024   -0.030061  -40.249257 -129.671634  -13.451496 -158.380736  -69.799312   -0.153615   -0.203187  -47.518875   -0.284679   -3.404409  -26.234625   -4.094730    0.000000   -0.089645    0.000000   -0.009295   -0.130952    0.000000    0.000000  -64.565176    0.000000   -2.517536  -18.465305  -29.154234   -3.357422   -0.018211    0.000000    0.000000    0.000000   -3.326121   -0.011513   -4.982714  -12.434308   -6.109909   -9.172386   -3.847636   -4.391879    0.000000   -3.729603    0.000000   -7.362627   -7.401668  -60.898345  -30.929501   -2.013526   -9.617084   -0.515219    0.000000    0.000000   -6.287864    0.000000    0.000000  -20.860875   -1.111682  -45.960151  -51.059060   -1.632512  -11.342368   -6.397679   -6.421075   -6.313564   -4.439488   -4.400146    0.000000    0.000000    0.000000   -6.106120   -1.370518   -0.080264   -0.563229   -1.676992   -2.421936  -25.478291    0.000000  -15.271106    0.000000   -0.202010  -10.826860   -2.767611   -0.646504   -9.960245   -3.926811    0.000000   -2.568857  -96.572283  -45.964534   -9.808617  -34.621231  -51.878696  -24.268400    0.000000    0.000000    0.000000    0.000000    0.000000   -0.074561  -14.015567  -25.175276    0.000000   -7.728146   -2.162898    0.000000   -5.123098    0.000000
   0.000000    0.000000   -4.212278  -34.281543  -76.577189  -15.720500  -47.539975  -30.939283  -96.803565   -6.589653    0.000000    0.000000  -51.072631  -80.373415   -5.760859  -18.661632    0.000000  -30.216735    0.000000   -2.101190    0.000000   -8.264150  -13.233462   -3.312604    0.000000    0.000000   -3.992645   -0.590381   -0.330237 -278.683908  -92.784196 -100.107438   -7.767576  -30.410360 -103.557160  -41.776589  -59.227347  -67.711177   -8.706241   -0.138827    0.000000   -7.597017   -2.256590   -5.919195   -6.909412  -76.751220  -61.793368  -41.400983   -3.213684  -62.607186 -203.822287  -54.512670   -3.162019  -40.072703    0.000000 -163.119202 -236.083934  -70.481362   -2.315028   -6.613178 -139.067208  -43.924054  -19.777903   -1.293203  -11.671772    0.000000  -13.847348  -46.386826   -0.537224  -52.621247   -5.437927   -0.107322   -0.132573    0.000000    0.000000    0.000000  -28.162917   -0.618689   -4.653712   -0.926709   -2.741734   -7.236977   -6.220266   -5.746343   -0.289326   -8.683980    0.000000    0.000000    0.000000    0.000000    0.000000  -13.760340    0.000000    0.000000   -2.412640   -5.995477   -4.838453   -4.236465   -5.746276   -3.321332    0.000000  -55.729896  -50.946500  -15.206658   -0.516441  -43.159375  -81.872946    0.000000   -1.873540   -5.190499  -16.645125   -0.024714   -2.245926   -0.120570   -1.117503   -0.021490   -0.084171 -105.959343 -184.829198  -14.975845 -162.402781  -72.008030   -0.216021   -0.225017  -47.528547   -0.304448   -3.741923  -27.556811   -3.884645    0.000000   -0.119390    0.000000   -0.012367   -0.127156    0.000000    0.000000  -68.861103    0.000000   -3.688232  -21.184271  -31.113337   -3.395574   -0.018839   -0.277660    0.000000    0.000000   -3.229712   -0.021770   -9.384111  -11.985437   -6.849424   -6.732837   -5.664466   -5.615407    0.000000   -3.797685    0.000000   -7.362627   -7.401668  -45.241163  -30.879299   -2.189671   -9.127473   -0.689660    0.000000    0.000000   -5.273514    0.000000    0.000000  -17.134452   -1.358191  -44.205635  -52.049732   -3.310880  -22.977955   -4.574235   -4.823384  -10.072352   -3.999068   -6.347244    0.000000    0.000000    0.000000   -6.260056   -3.895158   -0.082287   -0.577428   -1.841508   -1.950328  -39.524630    0.000000   -5.379171    0.000000   -0.202010  -28.259938   -2.426153   -0.646504  -38.153578   -4.087311    0.000000    0.000000  -96.585115  -47.150573  -10.749160  -35.586302  -52.058536  -24.954675    0.000000    0.000000    0.000000    0.000000    0.000000   -6.326735  -14.344057  -26.242468    0.000000   -8.333560   -2.594236   -0.627867   -4.153895    0.000000
   0.000000    0.000000   -4.181153  -36.806752  -48.870157  -11.887597  -27.654800  -33.194929  -71.658031   -5.355280    0.000000    0.000000    0.000000  -86.272221   -6.241307  -20.037384    0.000000   -6.580000    0.000000   -1.310647    0.000000   -5.703300  -14.798834   -5.260778    0.000000    0.000000   -4.976521   -0.758080   -0.324202 -211.988569  -83.309058  -89.519811   -6.032237    0.000000  -88.899560  -34.811953  -50.099553  -65.001555  -13.086988  -46.628347    0.000000   -7.178336   -2.125332   -5.310241   -5.034892  -84.177217  -11.619391  -44.440572   -3.450510  -67.200324 -187.451953  -51.104474   -3.801475  -48.522774    0.000000 -175.083489 -253.395428  -75.651058   -1.873065   -5.822240 -146.414663  -45.108205  -17.198149   -1.668667  -16.174075    0.000000  -14.864027  -49.788752   -0.524905  -56.486169   -5.639340   -0.440372   -9.692081    0.000000    0.000000    0.000000  -32.436387   -0.688591   -4.328939   -0.925104   -3.142040   -6.321905   -5.388362   -5.163707   -0.386407   -7.526122    0.000000    0.000000    0.000000    0.000000    0.000000  -11.773014    0.000000    0.000000   -2.228188  -13.411634   -5.343355   -3.579160   -7.041127   -2.959486    0.000000  -59.817092  -52.131488  -13.751061   -5.403473  -45.266266  -73.436479    0.000000   -2.088078   -7.165181  -13.336082   -6.822399   -3.575100   -8.085048   -3.952078  -12.648650  -19.778375  -85.743095 -189.127996  -15.762691 -176.519250  -74.093166   -2.044703   -3.062788  -51.016553   -2.892809   -3.241511  -24.972221   -3.707984    0.000000   -0.187990    0.000000   -0.019460   -0.746491    0.000000    0.000000  -75.349163    0.000000   -3.172259  -16.531257  -29.165435   -3.438571   -4.197693    0.000000    0.000000    0.000000   -4.382188   -0.174161   -7.746530  -12.052643   -6.466166   -4.955326   -6.417633   -7.983609    0.000000   -3.965914    0.000000   -8.057458   -8.015473  -35.726396  -30.903622   -2.716361   -9.096145   -1.090812    0.000000    0.000000   -6.239354    0.000000    0.000000  -19.945938   -1.730299  -46.604185  -54.340738   -2.687108  -18.833325   -5.076447   -5.333464  -10.242545   -4.312017   -5.130041    0.000000    0.000000    0.000000   -5.240118   -4.066521   -0.185084   -0.854093   -2.480415   -1.706878   -8.953189    0.000000   -4.533392    0.000000   -0.594037  -23.471277   -2.676891   -0.863924  -18.675200   -4.456936    0.000000    0.000000 -103.670644  -49.892265  -13.110800  -37.815126  -52.176697  -24.875236    0.000000    0.000000    0.000000    0.000000    0.000000   -4.026912  -12.238043  -27.301397    0.000000   -7.959004   -2.198008    0.000000   -3.685594    0.000000
   0.000000    0.000000   -4.036109  -36.838089  -58.525369  -15.799833  -27.509658  -33.200629    0.000000    0.000000    0.000000    0.000000    0.000000  -73.846795   -0.577545  -12.769311    0.000000   -2.045366    0.000000   -0.000000    0.000000   -1.653771   -1.325797    0.000000    0.000000    0.000000    0.000000   -0.723236   -0.377133    0.000000  -19.986450  -18.342025    0.000000    0.000000  -28.682654  -11.586879  -16.418491   -3.598942   -8.700122  -46.558386    0.000000   -8.606339   -2.554198   -6.624897   -2.854200  -57.245729   -3.905237   -6.570924   -2.969199  -60.712202 -176.017624  -47.071149   -4.161412  -49.811664    0.000000 -107.472022 -179.852077  -42.838417   -0.690923   -5.558655 -142.953524  -43.662277    0.000000    0.000000  -20.356631    0.000000  -14.155971  -49.790475   -0.261459  -56.498573   -2.896314   -0.386711   -9.621895    0.000000    0.000000    0.000000  -30.423234   -0.728874   -5.248872   -1.062760   -3.258267   -8.050252   -4.777825   -6.432408   -0.358798   -9.642489    0.000000    0.000000    0.000000    0.000000    0.000000  -15.237106    0.000000    0.000000   -2.718442   -9.168083   -4.417626   -2.299395   -5.067215   -3.711474    0.000000  -35.345532  -18.486165   -1.208278   -5.121343  -15.343187  -22.784470    0.000000    0.000000    0.000000  -17.144219   -6.809326   -2.710002   -8.018902   -2.914396  -12.627679  -19.869556   -4.497744  -67.077190   -6.943068 -168.133538  -71.687014   -1.955094   -2.965392  -51.023868   -2.797916   -4.154891  -31.544139   -3.568012    0.000000   -0.155861    0.000000   -0.016129   -0.693351    0.000000    0.000000  -57.336036    0.000000    0.000000  -10.009781  -14.972426   -2.713673   -4.191413    0.000000    0.000000    0.000000   -3.032458   -0.163277   -3.012952  -11.626178   -5.990734   -5.874797   -7.058433   -7.127990    0.000000   -4.410517    0.000000   -7.627175   -8.015473  -47.687810  -30.895225   -2.474855   -9.133796   -0.907403    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000   -1.660135  -45.475107  -51.873679    0.000000   -1.917147   -4.134766   -3.926115   -2.882292   -2.789208   -1.265649    0.000000    0.000000    0.000000   -3.187641   -1.866478   -0.158105   -0.664772   -2.290756   -2.170254   -2.869318    0.000000   -2.461415    0.000000   -0.566491   -6.405211   -1.724402   -0.863924  -17.175217   -4.284746    0.000000    0.000000  -63.788131  -48.601954  -11.889208  -36.769366  -47.218185  -22.466554    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000   -7.310695  -26.968406    0.000000   -9.769154    0.000000    0.000000   -4.635695    0.000000
   0.000000    0.000000   -4.036710  -36.831848  -56.945405  -15.940518  -27.079714  -33.199348    0.000000    0.000000    0.000000    0.000000    0.000000  -69.709027   -1.146272   -4.578635    0.000000   -1.032797    0.000000    0.000000    0.000000    0.000000   -3.027758    0.000000    0.000000    0.000000    0.000000   -0.723719   -0.377326    0.000000  -19.306415  -24.957680    0.000000    0.000000  -33.670299  -13.600865  -19.272449   -9.172334   -8.632632  -46.558386    0.000000   -8.608878   -2.555017   -6.627355   -2.343636  -54.883244   -2.951986   -5.971585   -2.808918  -57.473442 -176.039568  -47.077038   -4.192438  -50.224777    0.000000  -81.011298 -167.602553  -13.694096   -0.690923   -5.558926 -142.971238  -43.668731    0.000000    0.000000  -20.608176    0.000000  -13.447056  -49.781251   -0.256293  -56.490133   -2.848191   -0.385753   -9.620781    0.000000    0.000000    0.000000  -30.433559   -0.729292   -5.251370   -1.063258   -3.259423   -8.053739   -5.373789   -6.435114   -0.358984   -9.646843    0.000000    0.000000    0.000000    0.000000    0.000000  -15.243919    0.000000    0.000000   -2.719344   -9.168083   -4.884876   -2.255265   -4.979486   -3.712906    0.000000  -33.499535  -20.065021   -6.721143   -5.121343  -17.463627  -26.738557    0.000000   -0.349185    0.000000  -17.315140   -6.809147   -2.693366   -8.018065   -2.914396  -12.513571  -18.643897   -2.924283  -72.804192   -7.498351 -166.301658  -71.699361   -1.953494   -2.965392  -51.023037   -2.795939   -4.156685  -31.740098   -3.568686    0.000000   -0.155967    0.000000   -0.016143   -0.692402    0.000000    0.000000  -53.296335    0.000000    0.000000    0.000000  -12.691233   -2.370300   -4.191288    0.000000    0.000000    0.000000   -3.008355   -0.163067   -2.929907  -11.627583   -7.758959   -5.876490   -7.134105   -7.124849    0.000000   -4.411032    0.000000   -7.627175   -8.015473  -36.807094  -30.898694   -2.474184   -9.135185   -0.906539    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000   -1.661220  -45.480632  -50.538911    0.000000   -5.006456   -4.608923   -4.418344   -3.402671   -3.081801    0.000000    0.000000    0.000000    0.000000   -3.085017   -1.830412   -0.156756   -0.655306   -2.291663   -2.171223   -1.561493    0.000000   -2.421569    0.000000   -0.566491   -6.405211   -1.706430   -0.863924  -17.151516   -4.285019    0.000000    0.000000  -58.803303  -48.608178  -11.885634  -36.773396  -47.224466  -22.469620    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000   -7.091702  -27.050823    0.000000   -9.836588    0.000000    0.000000   -4.637886    0.000000
   0.000000    0.000000   -4.031669  -36.814297  -58.289836  -15.999244  -24.045466  -33.196913    0.000000    0.000000    0.000000    0.000000    0.000000  -73.849035   -4.727896   -4.571136    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  -12.131009    0.000000    0.000000    0.000000    0.000000   -0.719731   -0.375888  -77.212168  -19.901902  -39.676173   -1.017252  -11.192278  -39.424545  -15.204512  -22.562402  -22.261248   -8.835103  -46.560573    0.000000   -8.580071   -2.546435   -6.606311   -2.441196  -53.265041   -1.043027   -5.367947   -2.970140  -60.713806 -175.890397  -47.037201   -3.932761  -51.617919    0.000000  -99.025548 -179.851573  -13.692403   -0.715551   -5.550335 -142.849623  -43.618991    0.000000    0.000000  -20.952775    0.000000  -12.736859  -49.790129   -0.261459  -56.499887   -2.944438   -0.387670   -9.624123    0.000000    0.000000    0.000000  -30.362843   -0.725961   -5.233050   -1.059169   -3.244888   -8.028604   -6.888361   -6.414229   -0.356988   -9.616890    0.000000    0.000000    0.000000    0.000000    0.000000  -15.197629    0.000000    0.000000   -2.710441   -9.284878   -4.949739   -2.255265   -5.067215   -3.701172    0.000000  -10.761430  -22.895256   -8.662928   -5.135689  -20.530866  -32.682995    0.000000   -1.900633    0.000000  -14.731861   -6.809684   -2.726639   -8.020577   -2.936165  -12.392041  -19.366221   -6.159964  -83.070929   -8.462163 -168.894810  -71.614824   -1.956695   -2.968751  -51.018389   -2.797916   -4.143889  -27.567893   -3.563767    0.000000   -0.154907    0.000000   -0.016030   -0.694300    0.000000    0.000000  -47.473446    0.000000   -2.189953    0.000000  -13.112868   -2.370300   -4.191413   -0.318955    0.000000    0.000000   -3.056560   -0.163486   -3.095998  -11.613172   -7.732626   -5.861905   -6.792293   -7.091086    0.000000   -4.394936    0.000000   -7.674984   -8.015473  -17.170504  -30.915133   -2.465350   -9.123425   -0.900701    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000   -1.652171  -45.441149  -51.899376   -1.589100   -8.936446   -4.679695   -4.549898   -4.409621   -3.226148    0.000000    0.000000    0.000000    0.000000   -3.136329   -1.974677   -0.157430   -0.660039   -2.279156   -2.164392    0.000000    0.000000   -2.501261    0.000000   -0.567802   -6.955729   -1.724402   -0.863924  -11.046285   -4.279558    0.000000    0.000000  -44.065148  -48.563249  -11.853513  -36.737711  -47.181747  -22.891906    0.000000    0.000000    0.000000    0.000000   -2.702972   -2.595586   -7.310695  -26.950139    0.000000   -8.710656    0.000000   -0.225630   -4.622827    0.000000
